# Enemy mastery-carrier ids dropped for having no resolvable encounter.
# These enemies were not listed as a source for any mastery, so they are
# omitted from the web data. Regenerated by extract_masteries.py; committed
# as a diffable artifact so a game update that changes the set shows up in git.
# One "<name>\t<id>" per line, sorted by name then id.

Abandoned reinforced drone	Mon_Drone_Enhanced_Rust
Golden Draki Knight	Mon_Beast_Dragon_Gold2_Ground
Golden Draki Knight	Mon_Beast_Dragon_Gold2_Ground_Elite
Golden Draki Prince	Mon_Beast_Dragon_Gold3_Ground
Greedy Dorori	Mon_JointTraining_Beast_Bat_Crazy
Grey Yasha	Mon_JointTraining_Beast_Spider_Grey3
Huge Albino Crabmit	Mon_JointTraining_Beast_Crammy_White3
Huge Darkness Crabmit	Mon_JointTraining_Beast_Crammy_Black3
Huge Frost Crabmit	Mon_JointTraining_Beast_Crammy_Ice3
Huge Jade Crabmit	Mon_JointTraining_Beast_Crammy_Base3
Huge Lava Crabmit 	Mon_JointTraining_Beast_Crammy_Fire3
Huge Rock Crabmit	Mon_JointTraining_Beast_Crammy_Earth3
Huge Toxic Crabmit	Mon_JointTraining_Beast_Crammy_Poison3
Irene	Mon_Irene
Isaac	Mon_VHPD_Issac
Jane	Mon_VHPD_Jane2
Javert	Mon_Gangster_Javer
Jean	Mon_Troubleshooter_Jean
Kim, the informant	Informant_Kim
Kylie	Mon_Kylie
Leton	Mon_Leton2
Lightning Draki Baron	Mon_JointTraining_Beast_Dragon_Lightning3
Lightning Draki Prince	Mon_JointTraining_Beast_Dragon_Lightning3_Ground
Lightning Tima	Mon_JointTraining_Beast_Tima_Spark
Magma Tima	Mon_JointTraining_Beast_Tima_Magma
Maximillion	Mon_Hundred
Misty	Mon_Misty
Mutant Big Negoori	Mon_JointTraining_Beast_Frog_PoisonBlue3
Mutant Draki	Mon_Beast_Dragon_Dot2
Mutant Draki	Mon_Beast_Dragon_Dot2_Elite
Mutant Draki Baron	Mon_Beast_Dragon_Dot3
Mutant Draki Knight	Mon_Beast_Dragon_Dot2_Ground
Mutant Draki Knight	Mon_Beast_Dragon_Dot2_Ground_Elite
Mutant Draki Prince	Mon_Beast_Dragon_Dot3_Ground
Roberto	Mon_Troubleshooter_Roberto2
Rock Draki Baron 	Mon_JointTraining_Beast_Dragon_Earth3
Rock Draki Prince	Mon_JointTraining_Beast_Dragon_Earth3_Ground
Ryo	Mon_Gangster_ButcherRyo2
Silver	Mon_JointTraining_Beast_Tima_Stone
Sion	Mon_Sion
Snow	Mon_JointTraining_Beast_Tima_Snow
Snow Mountain Crabmit	Mon_JointTraining_Beast_Crammy_Snow
Spotted Negoori	Mon_JointTraining_Beast_Frog_Dot
Storm Draki Baron	Mon_JointTraining_Beast_Dragon_White3
VHPD Squad Leader	Mon_VHPD_Assult_Expert_Leader
VHPD Striker	Mon_VHPD_Scout_GrandMaster
VHPD Suppressor	Mon_VHPD_Assult_GrandMaster
VHPD Suppressor	Mon_VHPD_Assult_GrandMaster_EMPGrenade
VHPD Suppressor	Mon_VHPD_Assult_GrandMaster_Freezing
Venom Draki Baron	Mon_JointTraining_Beast_Dragon_Water3
Venom Draki Prince	Mon_JointTraining_Beast_Dragon_Water3_Ground
Volcano Crabmit	Mon_JointTraining_Beast_Crammy_Magma
White Cloud	Mon_JointTraining_Beast_Tima_WhiteTiger2
White Thunderbolt	Mon_JointTraining_Beast_Tima_WhiteTiger
